,model,eval ds,accuracy,precision,recall,iou,area_fractional_error
0,ft_100,fr,0.8727,0.8084754182941973,0.9768000000464,0.38118411432367255,-0.18898940881519577
1,ft_500,fr,0.9542,0.9498811411452434,0.959000000082,0.42201548487672724,0.055725901297587664
2,ft_1000,fr,0.9693,0.9598275524988682,0.9796000000408,0.16841880686659833,-0.06830141832599584
3,ft_5000,fr,0.9709,0.9606730581869046,0.982000000036,0.3934263213636976,-0.06998395948368011
